Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
Men'S Adidas Sport Inspired Blaze Runner Shoes,CL7400,5599.0,2799.0,0.5,Adidas Core / Neo,4.1,68
Men'S Adidas Sport Inspired Binafo Shoes,CL7437,5299.0,2649.0,0.5,Adidas Core / Neo,4.4,74
Men'S Adidas Running Rey Shoes,CL7563,4999.0,2499.0,0.5,Adidas Core / Neo,3.7,1
Men'S Adidas Running Zeta 1.0 Shoes,CL7460,5999.0,2999.0,0.5,Adidas Core / Neo,2.0,48
Men'S Adidas Running Puaro Shoes,CL7507,4999.0,2499.0,0.5,Adidas Core / Neo,4.8,0
Men'S Adidas Swim Stabile Slippers,CM0061,1299.0,779.0,0.4,Adidas Core / Neo,2.7,14
Women'S Adidas Originals Stan Smith Shoes,F34308,7999.0,3999.0,0.5,Adidas Originals,4.0,69
Men'S Adidas Running Puaro Shoes,CL7506,4999.0,2499.0,0.5,Adidas Core / Neo,4.7,83
Women'S Adidas Running Hyperon 1.0 Shoes,CL7344,2999.0,2399.0,0.2,Adidas Core / Neo,2.0,86
Men'S Adidas Originals Yung-1 Shoes,EE5318,10999.0,6599.0,0.4,Adidas Originals,3.5,90
Men'S Adidas Running Rey Shoes,CL7564,4999.0,2499.0,0.5,Adidas Core / Neo,4.6,58
Men'S Adidas Sport Inspired Binafo Shoes,CL7439,5299.0,2649.0,0.5,Adidas Core / Neo,4.8,73
Women'S Adidas Running Hyperon 1.0 Shoes,CL7345,2999.0,2399.0,0.2,Adidas Core / Neo,2.8,11
Women'S Adidas Sport Inspired Drogo Shoes,CL7644,2699.0,2159.0,0.2,Adidas Core / Neo,4.6,32
Men'S Adidas Sport Inspired Binafo Shoes,CL7438,5299.0,2649.0,0.5,Adidas Core / Neo,2.7,78
Men'S Adidas Outdoor Hoist 2019 Sandals,CK9843,2799.0,1679.0,0.4,Adidas Sport Performance,1.5,47
Women'S Originals Continental 80 Shoes,EE8738,8999.0,5399.0,0.4,Adidas Originals,4.4,81
Men'S Adidas Running Furato Shoes,CL7576,5599.0,2799.0,0.5,Adidas Core / Neo,4.0,15
Men'S Adidas Running Stargon 1.0 Shoes,CL7482,4599.0,2299.0,0.5,Adidas Core / Neo,4.2,98
Men'S Adidas Originals Skateboarding Seeley Shoes,EE6129,5999.0,3599.0,0.4,Adidas Originals,4.0,1
Women'S Adidas Sport Inspired Lite Racer 2.0 Shoes,EG3290,3999.0,3999.0,0.0,Adidas Core / Neo,2.9,51
Men'S Adidas Running Raddis 1.0 Shoes,CL7467,5599.0,2799.0,0.5,Adidas Core / Neo,4.7,57
Men'S Adidas Running Solar Drive Shoes,EF1426,9999.0,4999.0,0.5,Adidas Sport Performance,3.2,50
